amplificatoare_image,amplificatoare_url,amplificatoare_nume,amplificatoare_nume_url,amplificatoare_pret,amplificatoare_putere
https://www.zeedoshop.ro/73870-home_default/audac-mfa208.jpg,https://www.zeedoshop.ro/produs_audac-mfa208_39623_0,"Amplificator multifunctional 2x40W
Audac MFA208",https://www.zeedoshop.ro/produs_audac-mfa208_39623_0,"2,815 Lei",200W
https://www.zeedoshop.ro/73864-home_default/audac-mfa216.jpg,https://www.zeedoshop.ro/produs_audac-mfa216_39622_0,"Amplificator multifunctional 2x80W
Audac MFA216",https://www.zeedoshop.ro/produs_audac-mfa216_39622_0,"3,379 Lei",200W
https://www.zeedoshop.ro/42760-home_default/audac-sma-500.jpg,https://www.zeedoshop.ro/produs_audac-sma-500_30607_0,"Amplificator audio
Audac SMA 500",https://www.zeedoshop.ro/produs_audac-sma-500_30607_0,"4,109 Lei",200W
https://www.zeedoshop.ro/42762-home_default/audac-sma-750.jpg,https://www.zeedoshop.ro/produs_audac-sma-750_30608_0,"Amplificator audio
Audac SMA 750",https://www.zeedoshop.ro/produs_audac-sma-750_30608_0,"4,855 Lei",200W
https://www.zeedoshop.ro/41187-home_default/ld-systems-sp-1k8.jpg,https://www.zeedoshop.ro/produs_ld-systems-sp-1k8_30462_0,"Amplificator audio
LD Systems SP 1K8",https://www.zeedoshop.ro/produs_ld-systems-sp-1k8_30462_0,"5,135 Lei",200W
https://www.zeedoshop.ro/42766-home_default/audac-smq-500.jpg,https://www.zeedoshop.ro/produs_audac-smq-500_30610_0,"Amplificator audio
Audac SMQ 500",https://www.zeedoshop.ro/produs_audac-smq-500_30610_0,"6,185 Lei",200W
https://www.zeedoshop.ro/41176-home_default/ld-systems-sp-4k.jpg,https://www.zeedoshop.ro/produs_ld-systems-sp-4k_30458_0,"Amplificator audio
LD Systems SP 4K",https://www.zeedoshop.ro/produs_ld-systems-sp-4k_30458_0,"6,849 Lei",200W
https://www.zeedoshop.ro/42749-home_default/audac-dpa-616.jpg,https://www.zeedoshop.ro/produs_audac-dpa-616_30603_0,"Amplificator audio
Audac DPA 616",https://www.zeedoshop.ro/produs_audac-dpa-616_30603_0,"6,999 Lei",200W
https://www.zeedoshop.ro/42768-home_default/audac-smq-750.jpg,https://www.zeedoshop.ro/produs_audac-smq-750_30611_0,"Amplificator audio
Audac SMQ 750",https://www.zeedoshop.ro/produs_audac-smq-750_30611_0,"7,175 Lei",200W
https://www.zeedoshop.ro/41179-home_default/ld-systems-sp-44k.jpg,https://www.zeedoshop.ro/produs_ld-systems-sp-44k_30459_0,"Amplificator audio
LD Systems SP 44K",https://www.zeedoshop.ro/produs_ld-systems-sp-44k_30459_0,"8,299 Lei",200W
,,,,,400W
