boxe_image,boxe_url,boxe_nume,boxe_nume_url,boxe_pret,boxe_putere,boxe_greutate,boxe_inaltime
https://www.zeedoshop.ro/48650-home_default/ld-systems-stinger-10-a-g3.jpg,https://www.zeedoshop.ro/produs_ld-systems-stinger-10-a-g3_32073_0,"Boxa activa
LD Systems Stinger 10 A G3",https://www.zeedoshop.ro/produs_ld-systems-stinger-10-a-g3_32073_0,"1,839 Lei",700W,17,105
https://www.zeedoshop.ro/54700-home_default/ld-systems-mix-10-a-g3.jpg,https://www.zeedoshop.ro/produs_ld-systems-mix-10-a-g3_33063_0,"Boxa activa
LD Systems MIX 10 A G3",https://www.zeedoshop.ro/produs_ld-systems-mix-10-a-g3_33063_0,"1,915 Lei",600W,15,130
https://www.zeedoshop.ro/56253-home_default/ld-systems-dave-10-g3.jpg,https://www.zeedoshop.ro/produs_ld-systems-dave-10-g3_30391_0,"Sistem de sonorizare
LD Systems DAVE 10 G3",https://www.zeedoshop.ro/produs_ld-systems-dave-10-g3_30391_0,"2,059 Lei",800W,12,80
https://www.zeedoshop.ro/56347-home_default/ld-systems-stinger-28-a-g3.jpg,https://www.zeedoshop.ro/produs_ld-systems-stinger-28-a-g3_33058_0,"Boxa activa
LD Systems Stinger 28 A G3",https://www.zeedoshop.ro/produs_ld-systems-stinger-28-a-g3_33058_0,"2,759 Lei",800W,17,80
https://www.zeedoshop.ro/56254-home_default/ld-systems-dave-12-g3.jpg,https://www.zeedoshop.ro/produs_ld-systems-dave-12-g3_30392_0,"Sistem de sonorizare
LD Systems DAVE 12 G3",https://www.zeedoshop.ro/produs_ld-systems-dave-12-g3_30392_0,"3,199 Lei",700W,10,130
https://www.zeedoshop.ro/80233-home_default/ld-systems-stinger-15-a-g3.jpg,https://www.zeedoshop.ro/produs_ld-systems-stinger-15-a-g3_32076_0,"Boxa activa
LD Systems Stinger 15 A G3",https://www.zeedoshop.ro/produs_ld-systems-stinger-15-a-g3_32076_0,"3,199 Lei",800W,15,80
https://www.zeedoshop.ro/48040-home_default/ld-systems-ddq-10.jpg,https://www.zeedoshop.ro/produs_ld-systems-ddq-10_30414_0,"Boxa activa
LD Systems DDQ 10",https://www.zeedoshop.ro/produs_ld-systems-ddq-10_30414_0,"4,399 Lei",600W,15,80
https://www.zeedoshop.ro/48044-home_default/ld-systems-ddq-12.jpg,https://www.zeedoshop.ro/produs_ld-systems-ddq-12_30415_0,"Boxa activa
LD Systems DDQ 12",https://www.zeedoshop.ro/produs_ld-systems-ddq-12_30415_0,"5,289 Lei",700W,12,130
https://www.zeedoshop.ro/48051-home_default/ld-systems-ddq-15.jpg,https://www.zeedoshop.ro/produs_ld-systems-ddq-15_30416_0,"Boxa activa
LD Systems DDQ 15",https://www.zeedoshop.ro/produs_ld-systems-ddq-15_30416_0,"6,899 Lei",800W,17,80
https://www.zeedoshop.ro/47930-home_default/dap-audio-splash-8a.jpg,https://www.zeedoshop.ro/produs_dap-audio-splash-8a_31331_0,"Boxa Activa 8 inchi
DAP Audio Splash 8A",https://www.zeedoshop.ro/produs_dap-audio-splash-8a_31331_0,"1,107 Lei",600W,10,115
https://www.zeedoshop.ro/47932-home_default/dap-audio-splash-10a.jpg,https://www.zeedoshop.ro/produs_dap-audio-splash-10a_31332_0,"Boxa Activa 10 inchi
DAP Audio Splash 10A",https://www.zeedoshop.ro/produs_dap-audio-splash-10a_31332_0,"1,215 Lei",800W,12,130
https://www.zeedoshop.ro/47938-home_default/dap-audio-drx-12a.jpg,https://www.zeedoshop.ro/produs_dap-audio-drx-12a_29660_0,"Boxa activa
DAP Audio DRX-12A",https://www.zeedoshop.ro/produs_dap-audio-drx-12a_29660_0,"1,529 Lei",700W,12,130
https://www.zeedoshop.ro/47934-home_default/dap-audio-drx-10a.jpg,https://www.zeedoshop.ro/produs_dap-audio-drx-10a_29658_0,"Boxa activa
DAP Audio DRX-10A",https://www.zeedoshop.ro/produs_dap-audio-drx-10a_29658_0,"1,809 Lei",800W,10,115
https://www.zeedoshop.ro/47936-home_default/dap-audio-splash-15a.jpg,https://www.zeedoshop.ro/produs_dap-audio-splash-15a_31334_0,"Boxa Activa 15 inchi
DAP Audio Splash 15A",https://www.zeedoshop.ro/produs_dap-audio-splash-15a_31334_0,"1,938 Lei",600W,17,80
https://www.zeedoshop.ro/47940-home_default/dap-audio-drx-15a.jpg,https://www.zeedoshop.ro/produs_dap-audio-drx-15a_26223_0,"Boxa activa
DAP Audio DRX-15A",https://www.zeedoshop.ro/produs_dap-audio-drx-15a_26223_0,"2,241 Lei",700W,12,130
https://www.zeedoshop.ro/47948-home_default/dap-audio-club-mate-ii.jpg,https://www.zeedoshop.ro/produs_dap-audio-club-mate-ii_26206_0,"Sistem de sonorizare
DAP Audio Club Mate II",https://www.zeedoshop.ro/produs_dap-audio-club-mate-ii_26206_0,"4,833 Lei",800W,17,80
